codigo,categoria,pieza,cantidad,largo_mm,ancho_mm,espesor_mm,cantos
BA1,Casco,Lateral_Izq,1,754.0,600.0,18.0,Canto frente
BA2,Casco,Lateral_Der,1,754.0,600.0,18.0,Canto frente
BA3,Casco,Piso_Pasante,1,903.0,600.0,18.0,Canto frente
BA3L,Herraje,Pata_80,4,40.0,40.0,80.0,PVC/Aluminio
BA4,Casco,Fondo_3mm,1,867.0,754.0,3.0,Sin canto
BA5,Casco,Soporte_Sup_Frente,1,903.0,200.0,18.0,Canto frente
BA6,Casco,Soporte_Sup_Fondo,1,903.0,200.0,18.0,Sin canto
BA7,Casco,Repisa_Separadora,1,867.0,600.0,18.0,Canto frente
BA8,Interior,Estante_Inferior,1,867.0,600.0,18.0,Canto frente
BA9,Frente,Frente_Falso_Sup,1,670.0,130.0,18.0,4 cantos
BA10,Frente,Frente_Mid_Ancho_Completo,1,892.0,315.0,18.0,4 cantos
BA11,Frente,Frente_Bot_Ancho_Completo,1,892.0,315.0,18.0,4 cantos
BA12,Herraje,Gola_C_Superior,1,903.0,25.0,20.0,Aluminio
BA13,Herraje,Gola_J_Media,1,903.0,25.0,20.0,Aluminio
