codigo,categoria,pieza,cantidad,largo_mm,ancho_mm,espesor_mm,cantos
BB1,Casco,Lateral_Izq,1,754.0,600.0,18.0,Canto frente
BB2,Casco,Lateral_Der,1,754.0,600.0,18.0,Canto frente
BB3,Casco,Piso_Pasante,1,1208.0,600.0,18.0,Canto frente
BB4,Casco,Fondo_3mm,1,1172.0,754.0,3.0,Sin canto
BB5,Casco,Soporte_Sup_Frente,1,1208.0,200.0,18.0,Canto frente
BB6,Casco,Soporte_Sup_Fondo,1,1208.0,200.0,18.0,Sin canto
BB7,Interior,Divisor_Central,1,754.0,579.0,18.0,Sin canto
BB8,Frente,Frente_Top,2,594.0,100.0,18.0,4 cantos
BB10,Frente,Frente_Mid,2,594.0,334.0,18.0,4 cantos
BB12,Frente,Frente_Bot,2,594.0,334.0,18.0,4 cantos
BB14a,Cajon,BB14_Caja_Top_Izq_Lateral,2,500.0,80.0,18.0,Sin canto
BB14b,Cajon,BB14_Caja_Top_Izq_Frente_Trasera,2,516.0,80.0,18.0,Sin canto
BB14c,Cajon,BB14_Caja_Top_Izq_Fondo_6mm,1,516.0,464.0,6.0,Sin canto
BB15a,Cajon,BB15_Caja_Top_Der_Lateral,2,500.0,80.0,18.0,Sin canto
BB15b,Cajon,BB15_Caja_Top_Der_Frente_Trasera,2,516.0,80.0,18.0,Sin canto
BB15c,Cajon,BB15_Caja_Top_Der_Fondo_6mm,1,516.0,464.0,6.0,Sin canto
BB16a,Cajon,BB16_Caja_Mid_Izq_Lateral,2,500.0,180.0,18.0,Sin canto
BB16b,Cajon,BB16_Caja_Mid_Izq_Frente_Trasera,2,516.0,180.0,18.0,Sin canto
BB16c,Cajon,BB16_Caja_Mid_Izq_Fondo_6mm,1,516.0,464.0,6.0,Sin canto
BB17a,Cajon,BB17_Caja_Mid_Der_Lateral,2,500.0,180.0,18.0,Sin canto
BB17b,Cajon,BB17_Caja_Mid_Der_Frente_Trasera,2,516.0,180.0,18.0,Sin canto
BB17c,Cajon,BB17_Caja_Mid_Der_Fondo_6mm,1,516.0,464.0,6.0,Sin canto
BB18a,Cajon,BB18_Caja_Bot_Izq_Lateral,2,500.0,180.0,18.0,Sin canto
BB18b,Cajon,BB18_Caja_Bot_Izq_Frente_Trasera,2,516.0,180.0,18.0,Sin canto
BB18c,Cajon,BB18_Caja_Bot_Izq_Fondo_6mm,1,516.0,464.0,6.0,Sin canto
BB19a,Cajon,BB19_Caja_Bot_Der_Lateral,2,500.0,180.0,18.0,Sin canto
BB19b,Cajon,BB19_Caja_Bot_Der_Frente_Trasera,2,516.0,180.0,18.0,Sin canto
BB19c,Cajon,BB19_Caja_Bot_Der_Fondo_6mm,1,516.0,464.0,6.0,Sin canto
