codigo,categoria,pieza,cantidad,largo_mm,ancho_mm,espesor_mm,cantos,ml_gola,bisagras_cazoleta
BB1,Casco,Lateral_Izq,1,772.0,600.0,18.0,Canto frente,,
BB2,Casco,Lateral_Der,1,772.0,600.0,18.0,Canto frente,,
BB3,Casco,Piso_Pasante,1,1355.0,600.0,18.0,Canto frente,,
BB3L,Herraje,Pata_80,4,40.0,40.0,80.0,PVC/Aluminio,,
BB4,Casco,Fondo_3mm,1,1319.0,772.0,3.0,Sin canto,,
BB5,Casco,Soporte_Sup_Frente,1,1319.0,100.0,18.0,Canto frente,,
BB6,Casco,Soporte_Sup_Fondo,1,1319.0,100.0,18.0,Sin canto,,
BB7,Interior,Divisor_Central,1,772.0,600.0,18.0,Sin canto,,
BB8,Frente,Frente_Top,2,670.0,122.0,18.0,4 cantos,,
BB10,Frente,Frente_Mid,2,670.0,307.0,18.0,4 cantos,,
BB12,Frente,Frente_Bot,2,670.0,307.0,18.0,4 cantos,,
BB14a,Cajon,BB14_Caja_Top_Izq_Lateral,2,500.0,80.0,18.0,Sin canto,,
BB14b,Cajon,BB14_Caja_Top_Izq_Frente_Trasera,2,589.1,80.0,18.0,Sin canto,,
BB14c,Cajon,BB14_Caja_Top_Izq_Fondo_6mm,1,625.1,500.0,6.0,Fondo clavado pasante,,
BB15a,Cajon,BB15_Caja_Top_Der_Lateral,2,500.0,80.0,18.0,Sin canto,,
BB15b,Cajon,BB15_Caja_Top_Der_Frente_Trasera,2,589.1,80.0,18.0,Sin canto,,
BB15c,Cajon,BB15_Caja_Top_Der_Fondo_6mm,1,625.1,500.0,6.0,Fondo clavado pasante,,
BB16a,Cajon,BB16_Caja_Mid_Izq_Lateral,2,500.0,180.0,18.0,Sin canto,,
BB16b,Cajon,BB16_Caja_Mid_Izq_Frente_Trasera,2,589.1,180.0,18.0,Sin canto,,
BB16c,Cajon,BB16_Caja_Mid_Izq_Fondo_6mm,1,625.1,500.0,6.0,Fondo clavado pasante,,
BB17a,Cajon,BB17_Caja_Mid_Der_Lateral,2,500.0,180.0,18.0,Sin canto,,
BB17b,Cajon,BB17_Caja_Mid_Der_Frente_Trasera,2,589.1,180.0,18.0,Sin canto,,
BB17c,Cajon,BB17_Caja_Mid_Der_Fondo_6mm,1,625.1,500.0,6.0,Fondo clavado pasante,,
BB18a,Cajon,BB18_Caja_Bot_Izq_Lateral,2,500.0,180.0,18.0,Sin canto,,
BB18b,Cajon,BB18_Caja_Bot_Izq_Frente_Trasera,2,589.1,180.0,18.0,Sin canto,,
BB18c,Cajon,BB18_Caja_Bot_Izq_Fondo_6mm,1,625.1,500.0,6.0,Fondo clavado pasante,,
BB19a,Cajon,BB19_Caja_Bot_Der_Lateral,2,500.0,180.0,18.0,Sin canto,,
BB19b,Cajon,BB19_Caja_Bot_Der_Frente_Trasera,2,589.1,180.0,18.0,Sin canto,,
BB19c,Cajon,BB19_Caja_Bot_Der_Fondo_6mm,1,625.1,500.0,6.0,Fondo clavado pasante,,
BB20,Herraje,Gola_C_Superior,1,1355.0,72.8,26.0,Aluminio,1.355,
BB21,Herraje,Gola_J_Media,1,1355.0,48.0,24.4,Aluminio,1.355,
TOTAL,Resumen,Totales_Herrajes,,,,,,2.710,0
