codigo,categoria,pieza,cantidad,largo_mm,ancho_mm,espesor_mm,cantos,ml_gola,bisagras_cazoleta
H1,Casco,Lateral_Izq,1,1729.0,600.0,18.0,Canto frente,,
H10A,Frente,Puerta_Inferior_Izq,1,612.0,332.5,18.0,4 cantos,,
H10B,Frente,Puerta_Inferior_Der,1,612.0,332.5,18.0,4 cantos,,
H11A,Frente,Puerta_Superior_Izq,1,447.0,332.5,18.0,4 cantos,,
H11B,Frente,Puerta_Superior_Der,1,447.0,332.5,18.0,4 cantos,,
H12B,Regrueso,Regrueso_Horizontal_Inferior_50,1,636.0,50.0,18.0,Crudo (cinta 36mm en obra),,
H14,Fondo,Fondo_3mm,1,2184.0,636.0,3.0,Sin canto,,
H15,Casco,Liston_Vert_Izq,1,600.0,50.0,18.0,Sin canto,,
H16,Casco,Liston_Vert_Der,1,600.0,50.0,18.0,Sin canto,,
H17,Herraje,Gola_J_Continuidad,1,672.0,48.0,24.4,Aluminio,,
H18,Herraje,Gola_J_Sup,1,672.0,48.0,24.4,Aluminio,,
H19,Casco,Piso_Alacena_Sup,1,636.0,574.0,18.0,Canto frente,,
H1B,Casco,Lateral_Izq_Sup,1,600.0,455.0,18.0,Canto frente,,
H2,Casco,Lateral_Der,1,1729.0,600.0,18.0,Canto frente,,
H2B,Casco,Lateral_Der_Sup,1,600.0,455.0,18.0,Canto frente,,
H3,Casco,Piso_Casco,1,672.0,600.0,18.0,Canto frente,,
H3L,Herraje,Pata_4,4,80.0,40.0,40.0,PVC/Aluminio,,
H4,Casco,Tapa_Casco,1,672.0,600.0,18.0,Sin canto,,
H5,Casco,Piso_Horno,1,636.0,600.0,18.0,Canto frente,,
H6,Casco,Piso_Micro,1,636.0,600.0,18.0,Canto frente,,
H7,Casco,Tapa_Micro,1,636.0,600.0,18.0,Sin canto,,
H8,Estante_Regulable,Estante_Inferior,1,636.0,600.0,18.0,Canto frente,,
H9B,Regrueso,Regrueso_Horizontal_Sup_50,1,636.0,50.0,18.0,Crudo (cinta 36mm en obra),,
TOTAL,Resumen,Totales_Herrajes,,,,,,0.000,0
