codigo,categoria,pieza,cantidad,largo_mm,ancho_mm,espesor_mm,cantos,ml_gola,bisagras_cazoleta
I1,Casco,Lateral_Izq_Frente,1,772.0,361.0,18.0,Canto frente,,
I1B,Casco,Fondo_Modulo_Izq,1,772.0,448.0,18.0,Canto frente,,
I1C,Casco,Fondo_Cajonera,1,772.0,430.0,18.0,Canto frente,,
I2,Casco,Lateral_Der,1,772.0,650.0,18.0,Canto frente,,
I3,Division,Divisor_1,1,772.0,650.0,18.0,Canto frente,,
I4,Division,Divisor_2,1,772.0,650.0,18.0,Canto frente,,
I4B,Division,Parante_Union_CR,1,772.0,18.0,60.0,Canto frente,,
I5,Casco,Piso_Izq,1,466.0,650.0,18.0,Canto frente,,
I6,Casco,Piso_Der,1,619.0,650.0,18.0,Canto frente,,
I8,Nicho,Estante_Nicho_Regulable,1,288.0,327.0,18.0,Canto frente,,
I8C,Nicho,Faja_Frontal_Estante_Nicho,1,289.0,18.0,18.0,Canto frente,,
I8B,Nicho,Faja_Superior_Nicho,1,289.0,50.0,18.0,Canto frente,,
I9,Casco,Soporte_Sup_Frente,1,1504.0,100.0,18.0,Canto frente,,
I10,Casco,Soporte_Sup_Fondo,1,1074.0,100.0,18.0,Sin canto,,
I11,Herraje,Pata_80,8,40.0,40.0,80.0,PVC/Aluminio,,
I12,Herraje,Gola_J_Superior,1,1540.0,48.0,24.4,Aluminio,1.540,
I13,Herraje,Gola_C_Izq,1,448.0,72.8,26.0,Aluminio,0.448,
I14,Frente,Frente_Cajon_Sup_Izq,1,448.0,243.33333333333334,18.0,4 cantos,,
I15,Frente,Frente_Cajon_Med_Izq,1,448.0,243.33333333333334,18.0,4 cantos,,
I16,Frente,Frente_Cajon_Inf_Izq,1,448.0,243.33333333333334,18.0,4 cantos,,
I17,Frente,Frente_Lavavajillas,1,537.0,760.0000000000001,18.0,4 cantos,,
I18,Frente,Puerta_Der,1,537.0,760.0000000000001,18.0,4 cantos,,2
I19a,Cajon,I19_Cajon_Sup_Lateral,2,325.0,170.0,18.0,Sin canto,,
I19b,Cajon,I19_Cajon_Sup_Frente_Trasera,2,368.6,170.0,18.0,Sin canto,,
I19c,Cajon,I19_Cajon_Sup_Fondo_6mm,1,404.6,325.0,6.0,Fondo clavado pasante,,
I20a,Cajon,I20_Cajon_Med_Lateral,2,325.0,170.0,18.0,Sin canto,,
I20b,Cajon,I20_Cajon_Med_Frente_Trasera,2,368.6,170.0,18.0,Sin canto,,
I20c,Cajon,I20_Cajon_Med_Fondo_6mm,1,404.6,325.0,6.0,Fondo clavado pasante,,
I21a,Cajon,I21_Cajon_Inf_Lateral,2,325.0,170.0,18.0,Sin canto,,
I21b,Cajon,I21_Cajon_Inf_Frente_Trasera,2,368.6,170.0,18.0,Sin canto,,
I21c,Cajon,I21_Cajon_Inf_Fondo_6mm,1,404.6,325.0,6.0,Fondo clavado pasante,,
I22,Mesada,Mesada_Calado_Bacha_530x390,1,1540.0,688.0,30.0,Pulido perimetral segun proveedor,,
TOTAL,Resumen,Totales_Herrajes,,,,,,1.988,2
