codigo,categoria,pieza,cantidad,largo_mm,ancho_mm,espesor_mm,cantos,ml_gola,bisagras_cazoleta
L1,Division,Parante_Front_Izq,1,2202.0,150.0,18.0,Canto frente,,
L10,Frente,Puerta_Sup_Izq,1,447.0,441.5,18.0,4 cantos,,
L11,Frente,Puerta_Sup_Der,1,447.0,441.5,18.0,4 cantos,,
L12,Herraje,Gola_C_Media,1,890.0,72.8,26.0,Aluminio,,
L13,Casco,Piso_Modulo_Superior,1,890.0,734.0,18.0,Canto frente,,
L15,Division,Parante_Rear_Izq,1,2202.0,150.0,18.0,Canto frente,,
L16,Division,Parante_Rear_Der,1,2202.0,150.0,18.0,Canto frente,,
L17,Herraje,Pata_1,1,80.0,40.0,40.0,PVC/Aluminio,,
L17,Herraje,Pata_2,1,80.0,40.0,40.0,PVC/Aluminio,,
L17,Herraje,Pata_3,1,80.0,40.0,40.0,PVC/Aluminio,,
L17,Herraje,Pata_4,1,80.0,40.0,40.0,PVC/Aluminio,,
L2,Division,Parante_Front_Der,1,2202.0,150.0,18.0,Canto frente,,
L3,Casco,Tapa_Casco,1,890.0,760.0,18.0,Sin canto,,
L4,Fondo,Fondo_3mm,1,2202.0,854.0,3.0,Sin canto,,
L5,Division,Parante_Interior,1,1747.0,760.0,18.0,Canto frente,,
L6,Casco,Techo_Lavarropas_Der,1,760.0,630.0,18.0,Sin canto,,
L7,Regrueso,Regrueso_Techo_Lav,1,630.0,60.0,18.0,Crudo (cinta 36mm en obra),,
L8,Frente,Puerta_Inf_Izq,1,1738.0,444.0,18.0,4 cantos,,
L9,Frente,Puerta_Inf_Der,1,1738.0,444.0,18.0,4 cantos,,
TOTAL,Resumen,Totales_Herrajes,,,,,,0.000,0
