board_idx,uid,module,code,name,x_mm,y_mm,cut_w_mm,cut_h_mm,part_w_mm,part_h_mm,rotated,cantos
1,H_H1_1,H,H1,Lateral_Izq,0,0,2187,603,2184,600,0,Cantos frente+arriba+abajo
1,AB_AB2_1,AB,AB2,AB_Lateral_Der,2187,0,323,458,455,320,1,Canto frente
1,H_H2_1,H,H2,Lateral_Der,0,603,2187,603,2184,600,0,Cantos frente+arriba+abajo
1,BB_BB3_1,BB,BB3,Piso_Pasante,0,1206,1358,603,1355,600,0,Canto frente
1,BA_BA3_1,BA,BA3,Piso_Pasante,1358,1206,906,603,903,600,0,Canto frente
2,BA_BA7_1,BA,BA7,Repisa_Separadora,0,0,870,603,867,600,0,Canto frente
2,BA_BA8_1,BA,BA8,Estante_Inferior,870,0,870,603,867,600,0,Canto frente
2,BA_BA1_1,BA,BA1,Lateral_Izq,1740,0,757,603,754,600,0,Canto frente
2,BA_BA2_1,BA,BA2,Lateral_Der,0,603,757,603,754,600,0,Canto frente
2,BB_BB1_1,BB,BB1,Lateral_Izq,757,603,757,603,754,600,0,Canto frente
2,BB_BB2_1,BB,BB2,Lateral_Der,1514,603,757,603,754,600,0,Canto frente
2,BB_BB7_1,BB,BB7,Divisor_Central,0,1206,757,582,754,579,0,Sin canto
2,AB_AB3_1,AB,AB3,AB_Piso,757,1206,1358,323,1355,320,0,Canto frente
2,AB_AB8_1,AB,AB8,AB_Puerta_3,2115,1206,447,476,444,473,0,4 cantos
3,AB_AB4_1,AB,AB4,AB_Tapa,0,0,1358,323,1355,320,0,Canto frente
3,AA_AA3_1,AA,AA3,Piso_Casco_Calados,1358,0,906,323,903,320,0,Canto frente
3,H_H10_1,H,H10,Puerta_Inferior,0,323,657,641,654,638,0,4 cantos
3,H_H3_1,H,H3,Piso_Casco,657,323,675,603,672,600,0,Canto frente
3,H_H4_1,H,H4,Tapa_Casco,1332,323,675,603,672,600,0,Canto frente
3,AB_AB6_1,AB,AB6,AB_Puerta_1,2007,323,476,447,444,473,1,4 cantos
3,H_H7_1,H,H7,Tapa_Micro,0,964,639,603,636,600,0,Canto frente
3,H_H8_1,H,H8,Estante_Inferior,639,964,639,603,636,600,0,Canto frente
3,H_H5_1,H,H5,Piso_Horno,1278,964,639,585,636,582,0,Canto frente
3,H_H6_1,H,H6,Piso_Micro,1917,964,639,585,636,582,0,Canto frente
3,BB_BB5_1,BB,BB5,Soporte_Sup_Frente,0,1567,1358,203,1355,200,0,Canto frente
3,BA_BA5_1,BA,BA5,Soporte_Sup_Frente,1358,1567,906,203,903,200,0,Canto frente
4,H_H11_1,H,H11,Puerta_Superior,0,0,657,485,654,482,0,4 cantos
4,AA_AA8_1,AA,AA8,Frente_Izquierdo,657,0,695,445,442,692,1,4 cantos
4,AA_AA9_1,AA,AA9,Frente_Derecho,1352,0,695,445,442,692,1,4 cantos
4,AB_AB7_1,AB,AB7,AB_Puerta_2,2047,0,476,447,444,473,1,4 cantos
4,AA_AA4_1,AA,AA4,Tapa_Casco_Calados_IzqDer160,0,485,906,323,903,320,0,Canto frente
4,BA_BA10_1,BA,BA10,Frente_Mid_Ancho_Completo,906,485,895,318,892,315,0,4 cantos
4,AA_AA1_1,AA,AA1,Lateral_Izq,1801,485,677,323,674,320,0,Canto frente
4,BA_BA11_1,BA,BA11,Frente_Bot_Ancho_Completo,0,808,895,318,892,315,0,4 cantos
4,BB_BB6_1,BB,BB6,Soporte_Sup_Fondo,895,808,1358,203,1355,200,0,Sin canto
4,AA_AA2_1,AA,AA2,Lateral_Der,0,1126,677,323,674,320,0,Canto frente
4,BB_BB10_1,BB,BB10,Frente_Mid,677,1126,673,318,670,315,0,4 cantos
4,BB_BB10_2,BB,BB10,Frente_Mid,1350,1126,673,318,670,315,0,4 cantos
4,AB_AB1_1,AB,AB1,AB_Lateral_Izq,2023,1126,458,323,455,320,0,Canto frente
4,BB_BB12_1,BB,BB12,Frente_Bot,0,1449,673,318,670,315,0,4 cantos
4,BB_BB12_2,BB,BB12,Frente_Bot,673,1449,673,318,670,315,0,4 cantos
4,BA_BA6_1,BA,BA6,Soporte_Sup_Fondo,1346,1449,906,203,903,200,0,Sin canto
5,BA_BA9_1,BA,BA9,Frente_Falso_Sup,0,0,895,133,892,130,0,4 cantos
5,BB_BB8_1,BB,BB8,Frente_Top,895,0,673,133,670,130,0,4 cantos
5,BB_BB8_2,BB,BB8,Frente_Top,1568,0,673,133,670,130,0,4 cantos
5,BB_BB16b_1,BB,BB16b,BB16_Caja_Mid_Izq_Frente_Trasera,0,133,593,183,590,180,0,Sin canto
5,BB_BB16b_2,BB,BB16b,BB16_Caja_Mid_Izq_Frente_Trasera,593,133,593,183,590,180,0,Sin canto
5,BB_BB17b_1,BB,BB17b,BB17_Caja_Mid_Der_Frente_Trasera,1186,133,593,183,590,180,0,Sin canto
5,BB_BB17b_2,BB,BB17b,BB17_Caja_Mid_Der_Frente_Trasera,1779,133,593,183,590,180,0,Sin canto
5,BB_BB18b_1,BB,BB18b,BB18_Caja_Bot_Izq_Frente_Trasera,0,316,593,183,590,180,0,Sin canto
5,BB_BB18b_2,BB,BB18b,BB18_Caja_Bot_Izq_Frente_Trasera,593,316,593,183,590,180,0,Sin canto
5,BB_BB19b_1,BB,BB19b,BB19_Caja_Bot_Der_Frente_Trasera,1186,316,593,183,590,180,0,Sin canto
