uid,source,module,code,name,board,x,y,w,h,rotated
vanitory_reforma_830_white_18mm_1_1,vanitory_reforma_830_white_18mm.tsv,VC,VC,VC_01_base_inf_pas,1,303,143,820,407,False
vanitory_reforma_830_white_18mm_2_1,vanitory_reforma_830_white_18mm.tsv,VC,VC,VC_02_lat_izq_base,1,1126,410,702,407,False
vanitory_reforma_830_white_18mm_3_1,vanitory_reforma_830_white_18mm.tsv,VC,VC,VC_03_lat_der_base,1,408,820,702,407,False
vanitory_reforma_830_white_18mm_4_1,vanitory_reforma_830_white_18mm.tsv,VC,VC,VC_04_riel_sup_front_sop,1,0,1230,784,100,False
vanitory_reforma_830_white_18mm_5_1,vanitory_reforma_830_white_18mm.tsv,VC,VC,VC_05_riel_sup_tras_sop,1,513,1333,784,100,False
vanitory_reforma_830_white_18mm_6_1,vanitory_reforma_830_white_18mm.tsv,VC,VC,VC_06_est_reg_comp,1,1831,0,377,784,True
vanitory_reforma_830_white_18mm_7_1,vanitory_reforma_830_white_18mm.tsv,VC,VC,VC_17_faja_cent_izq_sop,1,1228,0,407,180,False
vanitory_reforma_830_white_18mm_8_1,vanitory_reforma_830_white_18mm.tsv,VC,VC,VC_18_faja_cent_der_sop,1,0,553,407,180,False
vanitory_reforma_830_white_18mm_9_1,vanitory_reforma_830_white_18mm.tsv,VC,VC,VC_07_fte_caj_izq,1,0,736,405,180,False
vanitory_reforma_830_white_18mm_10_1,vanitory_reforma_830_white_18mm.tsv,VC,VC,VC_08_fte_caj_der,1,410,553,405,180,False
vanitory_reforma_830_white_18mm_11_1,vanitory_reforma_830_white_18mm.tsv,VC,VC,VC_09_pta_inf_izq,1,0,1333,510,405,False
vanitory_reforma_830_white_18mm_12_1,vanitory_reforma_830_white_18mm.tsv,VC,VC,VC_10_pta_inf_der,1,2211,0,510,405,False
vanitory_reforma_830_white_18mm_13_1,vanitory_reforma_830_white_18mm.tsv,VC,VC,VC_11a_lat_izq_caj_izq,1,0,143,300,140,False
vanitory_reforma_830_white_18mm_14_1,vanitory_reforma_830_white_18mm.tsv,VC,VC,VC_11b_lat_der_caj_izq,1,311,0,300,140,False
vanitory_reforma_830_white_18mm_15_1,vanitory_reforma_830_white_18mm.tsv,VC,VC,VC_11c_trasfte_caj_izq,1,0,919,308,140,False
vanitory_reforma_830_white_18mm_16_1,vanitory_reforma_830_white_18mm.tsv,VC,VC,VC_11d_ctrfte_caj_izq,1,0,0,308,140,False
vanitory_reforma_830_white_18mm_17_1,vanitory_reforma_830_white_18mm.tsv,VC,VC,VC_12a_lat_izq_caj_der,1,0,286,300,140,False
vanitory_reforma_830_white_18mm_18_1,vanitory_reforma_830_white_18mm.tsv,VC,VC,VC_12b_lat_der_caj_der,1,614,0,300,140,False
vanitory_reforma_830_white_18mm_19_1,vanitory_reforma_830_white_18mm.tsv,VC,VC,VC_12c_trasfte_caj_der,1,917,0,308,140,False
vanitory_reforma_830_white_18mm_20_1,vanitory_reforma_830_white_18mm.tsv,VC,VC,VC_12d_ctrfte_caj_der,1,0,1062,308,140,False
