board_idx,uid,module,code,name,x_mm,y_mm,cut_w_mm,cut_h_mm,part_w_mm,part_h_mm,rotated,cantos
1,F_F1_1,F,F1,Lateral_Izq,0,0,2323,953,2320,950,0,Crudo (cinta 36mm en obra)
1,R_R2_1,R,R2,Lateral_Der,2323,0,453,793,790,450,1,Canto frente
1,F_F5_1,F,F5,Panel_Divisor_Prof,0,953,2183,747,744,2180,1,Sin canto
1,H_H11_1,H,H11,Puerta_Superior,2183,953,441,657,654,438,1,4 cantos
1,F_F24_1,F,F24,Trasera,0,1700,2305,85,2302,82,0,Sin canto
1,I_I8C_1,I,I8C,Faja_Frontal_Estante_Nicho,2305,1700,291,53,288,50,0,Canto frente
2,F_F2_1,F,F2,Lateral_Der,0,0,2265,953,2262,950,0,Crudo (cinta 36mm en obra)
2,I_I1B_1,I,I1B,Fondo_Modulo_Izq,2265,0,451,775,772,448,1,Canto frente
2,L_L5_1,L,L5,Parante_Interior,0,953,1750,763,1747,760,0,Canto frente
2,L_L3_1,L,L3,Tapa_Casco,1750,953,893,763,890,760,0,Canto frente
2,AA_AA10_1,AA,AA10,Liston_Fijo_90,0,1716,888,93,885,90,0,4 cantos
2,H_H15_1,H,H15,Liston_Vert_Izq,888,1716,634,63,631,60,0,Canto frente
2,H_H16_1,H,H16,Liston_Vert_Der,1522,1716,634,63,631,60,0,Canto frente
2,L_L7_1,L,L7,Regrueso_Techo_Lav,2156,1716,633,63,630,60,0,Cantos vistos
3,H_H1_1,H,H1,Lateral_Izq,0,0,2187,603,2184,600,0,Cantos frente+arriba+abajo
3,AB_AB6_1,AB,AB6,AB_Puerta_1,2187,0,447,441,444,438,0,4 cantos
3,H_H2_1,H,H2,Lateral_Der,0,603,2187,603,2184,600,0,Cantos frente+arriba+abajo
3,AB_AB7_1,AB,AB7,AB_Puerta_2,2187,603,447,441,444,438,0,4 cantos
3,BB_BB3_1,BB,BB3,Piso_Pasante,0,1206,1358,603,1355,600,0,Canto frente
3,BA_BA3_1,BA,BA3,Piso_Pasante,1358,1206,906,603,903,600,0,Canto frente
3,AB_AB8_1,AB,AB8,AB_Puerta_3,2264,1206,447,441,444,438,0,4 cantos
4,L_L8_1,L,L8,Puerta_Inf_Izq,0,0,1741,438,435,1738,1,4 cantos
4,I_I1C_1,I,I1C,Fondo_Cajonera,1741,0,775,433,772,430,0,Canto frente
4,F_F23_1,F,F23,Lateral_Der,2516,0,267,125,122,264,1,Canto frente
4,L_L9_1,L,L9,Puerta_Inf_Der,0,438,1741,438,435,1738,1,4 cantos
4,F_F12_1,F,F12,Puerta_Mod_Izq,1741,438,880,372,369,877,1,4 cantos
4,L_L13_1,L,L13,Piso_Modulo_Superior,0,876,893,763,890,760,0,Canto frente
4,I_I2_1,I,I2,Lateral_Der,893,876,775,653,772,650,0,Canto frente
4,I_I3_1,I,I3,Divisor_1,1668,876,775,653,772,650,0,Canto frente
4,AA_AA1_1,AA,AA1,Lateral_Izq,2443,876,323,677,674,320,1,Canto frente
4,L_L1_1,L,L1,Parante_Front_Izq,0,1639,2205,153,2202,150,0,Canto frente
4,BB_BB14b_1,BB,BB14b,BB14_Caja_Top_Izq_Frente_Trasera,2205,1639,592,63,589,60,0,Sin canto
5,F_F14_1,F,F14,Regrueso_Vis_Izq,0,0,2165,285,2162,282,0,Crudo (cinta 36mm en obra)
5,I_I14_1,I,I14,Frente_Cajon_Sup_Izq,2165,0,451,246,448,243,0,4 cantos
5,F_F15_1,F,F15,Regrueso_Vis_Der,0,285,2165,285,2162,282,0,Crudo (cinta 36mm en obra)
5,I_I15_1,I,I15,Frente_Cajon_Med_Izq,2165,285,451,246,448,243,0,4 cantos
5,F_F25_1,F,F25,Piso_Interior_3xØ60,0,570,2305,267,2302,264,0,Sin canto
5,I_I16_1,I,I16,Frente_Cajon_Inf_Izq,2305,570,451,246,448,243,0,4 cantos
5,I_I4_1,I,I4,Divisor_2,0,837,775,653,772,650,0,Canto frente
5,F_F6_1,F,F6,Techo_Heladera_1800,775,837,747,653,744,650,0,Canto frente
5,L_L6_1,L,L6,Techo_Lavarropas_Der,1522,837,763,633,630,760,1,Canto frente
5,L_L10_1,L,L10,Puerta_Sup_Izq,2285,837,441,438,435,438,1,4 cantos
5,L_L2_1,L,L2,Parante_Front_Der,0,1490,2205,153,2202,150,0,Canto frente
5,BB_BB14b_2,BB,BB14b,BB14_Caja_Top_Izq_Frente_Trasera,2205,1490,592,63,589,60,0,Sin canto
5,L_L15_1,L,L15,Parante_Rear_Izq,0,1643,2205,153,2202,150,0,Sin canto
