codigo,categoria,pieza,cantidad,largo_mm,ancho_mm,espesor_mm,cantos,ml_gola,bisagras_cazoleta
I10,Casco,Soporte_Sup_Fondo,1,1124.0,100.0,18.0,Sin canto,,
I11,Herraje,Pata_80,8,40.0,40.0,80.0,PVC/Aluminio,,
I12,Herraje,Gola_J_Superior,1,942.0,48.0,24.4,Aluminio,0.942,
I14,Casco,Estante_Flotante_Sup_Izq,1,398.0,306.0,18.0,Canto frente,,
I15,Casco,Estante_Flotante_Med_Izq,1,398.0,306.0,18.0,Canto frente,,
I17,Frente,Frente_Lavavajillas,1,760.0,469.0,18.0,4 cantos,,
I18,Frente,Puerta_Der,1,760.0,469.0,18.0,4 cantos,,2
I18B,Frente,Pano_Fijo_Der,1,760.0,182.0,18.0,4 cantos,,
I1B,Casco,Lateral_Izq_Trasero,1,772.0,398.0,18.0,Canto frente,,
I1C,Casco,Fondo_Cajonera,1,772.0,380.0,18.0,Canto frente,,
I2,Casco,Lateral_Der,1,772.0,650.0,18.0,Canto frente,,
I22,Mesada,Mesada_Calado_Bacha_536x396,1,1580.0,688.0,30.0,Pulido perimetral segun proveedor,,
I3,Division,Divisor_1,1,772.0,650.0,18.0,Canto frente,,
I3B,Casco,Liston_Sup_Estantes_Izq,1,398.0,60.0,18.0,4 cantos,,
I4,Division,Divisor_2,1,772.0,650.0,18.0,Canto frente,,
I5,Casco,Piso_Izq,1,650.0,416.0,18.0,Canto frente,,
I6,Casco,Piso_Der,1,669.0,650.0,18.0,Canto frente,,
I8,Nicho,Estante_Nicho_Regulable,1,350.0,288.0,18.0,Canto frente,,
I8B,Nicho,Faja_Superior_Nicho,1,288.0,50.0,18.0,Canto frente,,
I8B,Casco,Piso_Removible_Lavavajillas,1,612.0,451.0,18.0,Canto frente,,
I8C,Nicho,Faja_Frontal_Estante_Nicho,1,288.0,50.0,18.0,Canto frente,,
I8C,Casco,Piso_Falso_Lavavajillas,1,612.0,451.0,18.0,Canto frente,,
I8D,Casco,Estante_Regulable_Der,1,649.0,612.0,18.0,Canto frente,,
I9,Casco,Soporte_Sup_Frente,1,1504.0,100.0,18.0,Canto frente,,
TOTAL,Resumen,Totales_Herrajes,,,,,,0.942,2
