board_idx,uid,module,code,name,x_mm,y_mm,cut_w_mm,cut_h_mm,part_w_mm,part_h_mm,rotated,cantos
1,F_F1_1,F,F1,Lateral_Izq,0,0,2323,953,2320,950,0,Crudo (cinta 36mm en obra)
1,I_I1_1,I,I1,Lateral_Izq_Frente,2323,0,364,775,772,361,1,Canto frente
1,F_F5_1,F,F5,Panel_Divisor_Prof,0,953,2183,747,744,2180,1,Sin canto
1,H_H7_1,H,H7,Tapa_Micro,2183,953,603,639,636,600,1,Canto frente
1,F_F24_1,F,F24,Trasera,0,1700,2287,85,2284,82,0,Sin canto
1,BB_BB14a_1,BB,BB14a,BB14_Caja_Top_Izq_Lateral,2287,1700,503,83,500,80,0,Sin canto
1,I_I8C_1,I,I8C,Faja_Frontal_Estante_Nicho,0,1785,292,21,289,18,0,Canto frente
2,F_F2_1,F,F2,Lateral_Der,0,0,2265,953,2262,950,0,Crudo (cinta 36mm en obra)
2,F_F3_1,F,F3,Piso_Modular,2265,0,303,747,744,300,1,Canto frente
2,BB_BB19a_2,BB,BB19a,BB19_Caja_Bot_Der_Lateral,2568,0,183,503,500,180,1,Sin canto
2,L_L5_1,L,L5,Parante_Interior,0,953,1732,763,1729,760,0,Canto frente
2,L_L3_1,L,L3,Tapa_Casco,1732,953,893,763,890,760,0,Canto frente
2,BB_BB8_2,BB,BB8,Frente_Top,2625,953,133,673,670,130,1,4 cantos
2,AA_AA10_1,AA,AA10,Liston_Fijo_90,0,1716,888,93,885,90,0,4 cantos
2,AA_AA5_1,AA,AA5,Travesano_Sup,888,1716,870,63,867,60,0,Sin canto
2,AA_AA6_1,AA,AA6,Travesano_Inf,1758,1716,870,63,867,60,0,Sin canto
3,H_H1_1,H,H1,Lateral_Izq,0,0,2187,603,2184,600,0,Cantos frente+arriba+abajo
3,AB_AB6_1,AB,AB6,AB_Puerta_1,2187,0,476,447,444,473,1,4 cantos
3,H_H2_1,H,H2,Lateral_Der,0,603,2187,603,2184,600,0,Cantos frente+arriba+abajo
3,AB_AB7_1,AB,AB7,AB_Puerta_2,2187,603,476,447,444,473,1,4 cantos
3,BB_BB3_1,BB,BB3,Piso_Pasante,0,1206,1358,603,1355,600,0,Canto frente
3,BA_BA3_1,BA,BA3,Piso_Pasante,1358,1206,906,603,903,600,0,Canto frente
3,AB_AB8_1,AB,AB8,AB_Puerta_3,2264,1206,476,447,444,473,1,4 cantos
4,L_L8_1,L,L8,Puerta_Inf_Izq,0,0,1732,438,435,1729,1,4 cantos
4,I_I1C_1,I,I1C,Fondo_Cajonera,1732,0,775,433,772,430,0,Canto frente
4,I_I8_1,I,I8,Estante_Nicho_Regulable,2507,0,291,290,288,287,0,Canto frente
4,L_L9_1,L,L9,Puerta_Inf_Der,0,438,1732,438,435,1729,1,4 cantos
4,F_F12_1,F,F12,Puerta_Mod_Izq,1732,438,880,372,369,877,1,4 cantos
4,I_I19b_2,I,I19b,I19_Cajon_Sup_Frente_Trasera,2612,438,173,372,369,170,1,Sin canto
4,L_L13_1,L,L13,Piso_Modulo_Superior,0,876,893,763,890,760,0,Canto frente
4,BA_BA7_1,BA,BA7,Repisa_Separadora,893,876,870,603,867,600,0,Canto frente
4,BA_BA8_1,BA,BA8,Estante_Inferior,1763,876,870,603,867,600,0,Canto frente
4,L_L1_1,L,L1,Parante_Front_Izq,0,1639,2205,153,2202,150,0,Canto frente
4,BB_BB14b_1,BB,BB14b,BB14_Caja_Top_Izq_Frente_Trasera,2205,1639,593,83,590,80,0,Sin canto
5,F_F14_1,F,F14,Regrueso_Vis_Izq,0,0,2165,285,2162,282,0,Crudo (cinta 36mm en obra)
5,BB_BB16b_1,BB,BB16b,BB16_Caja_Mid_Izq_Frente_Trasera,2165,0,593,183,590,180,0,Sin canto
5,F_F15_1,F,F15,Regrueso_Vis_Der,0,285,2165,285,2162,282,0,Crudo (cinta 36mm en obra)
5,BB_BB16b_2,BB,BB16b,BB16_Caja_Mid_Izq_Frente_Trasera,2165,285,593,183,590,180,0,Sin canto
5,F_F25_1,F,F25,Piso_Interior_3xØ60,0,570,2287,267,2284,264,0,Sin canto
5,I_I14_1,I,I14,Frente_Cajon_Sup_Izq,2287,570,451,240,448,237,0,4 cantos
5,I_I2_1,I,I2,Lateral_Der,0,837,775,653,772,650,0,Canto frente
5,I_I3_1,I,I3,Divisor_1,775,837,757,653,754,650,0,Canto frente
5,I_I4_1,I,I4,Divisor_2,1532,837,757,653,754,650,0,Canto frente
5,L_L10_1,L,L10,Puerta_Sup_Izq,2289,837,476,438,435,473,1,4 cantos
5,L_L2_1,L,L2,Parante_Front_Der,0,1490,2205,153,2202,150,0,Canto frente
5,BB_BB14b_2,BB,BB14b,BB14_Caja_Top_Izq_Frente_Trasera,2205,1490,593,83,590,80,0,Sin canto
5,L_L15_1,L,L15,Parante_Rear_Izq,0,1643,2205,153,2202,150,0,Sin canto
5,BB_BB15b_1,BB,BB15b,BB15_Caja_Top_Der_Frente_Trasera,2205,1643,593,83,590,80,0,Sin canto
6,F_F6_1,F,F6,Techo_Heladera_1800,0,0,747,653,744,650,0,Canto frente
6,L_L6_1,L,L6,Techo_Lavarropas_Der,747,0,763,633,630,760,1,Canto frente
6,BA_BA1_1,BA,BA1,Lateral_Izq,1510,0,757,603,754,600,0,Canto frente
6,L_L11_1,L,L11,Puerta_Sup_Der,2267,0,476,438,435,473,1,4 cantos
